2640 2096 122
2560 0 80 80
2576 80 64 96
2592 176 48 48
2608 224 32 32
2624 256 16 224
2608 480 32 80
2592 560 48 96
2608 656 32 224
2608 880 32 80
2592 960 48 192
2608 1152 32 160
2592 1312 48 48
2608 1360 32 448
1248 240 64 96
1312 240 528 32
1856 240 48 32
1920 240 48 32
1984 240 48 32
816 384 464 32
816 416 48 80
816 496 32 16
1296 384 48 32
1360 384 48 32
1424 384 48 32
912 640 224 64
1104 624 144 16
1136 640 112 16
912 704 64 16
1056 704 80 16
0 0 112 1936
112 896 16 144
128 944 16 32
112 1072 192 32
112 1152 16 784
128 1184 16 752
144 1488 16 192
144 1728 304 32
112 816 592 48
384 800 224 16
368 864 256 16
704 816 160 32
880 816 448 48
1328 832 96 32
1392 864 32 16
1424 848 96 32
1472 880 48 16
1520 864 80 32
1552 896 48 16
1600 880 80 32
1696 880 912 32
1776 912 80 16
1952 912 656 16
2000 928 48 16
2288 928 128 16
1952 864 64 16
2048 864 224 16
2432 864 64 16
848 1184 336 16
656 1232 192 16
400 1328 112 16
432 1440 192 16
256 1552 208 16
352 1648 208 16
1424 992 336 80
1424 1072 208 112
1632 1072 96 16
1632 1088 80 16
1632 1104 48 32
1632 1136 32 16
1296 1184 336 160
512 1344 1312 32
1728 1248 80 32
1824 1248 80 32
1920 1248 384 16
1920 1264 224 16
2176 1264 128 16
816 1376 816 320
832 1696 800 16
848 1712 384 16
1280 1712 352 16
912 1728 32 32
1056 1728 32 32
1280 1728 32 32
1536 1728 48 16
1552 1744 32 32
1872 1472 256 16
2176 1472 288 16
1872 1488 592 32
1872 1520 400 16
2304 1520 32 32
2352 1520 32 64
2432 1520 32 32
1872 1536 48 272
1968 1536 32 48
2016 1536 32 80
2128 1536 32 64
2208 1536 48 224
208 1856 192 48
256 1904 48 16
272 1920 32 176
432 1856 32 240
496 1856 32 240
560 1856 32 240
624 1856 32 240
688 1856 32 240
752 1808 432 64
928 1872 256 16
1104 1888 80 16
752 1920 32 16
752 1936 48 16
752 1952 544 144
928 1936 368 16
944 1920 352 16
1328 1920 80 176
1504 1808 1136 288
1200 1808 304 48
1200 1856 208 16
1200 1872 96 32
1328 1872 80 32
1472 1856 32 16
1488 1872 16 16
1488 2000 16 96
